start_date_local_formatted,name,sport_type,distance (miles),moving_time (minutes),pace (min_per_mile),pace_formatted,elevation_gain (feet),average_heartrate,max_heartrate,hr_ratio (0-1),hr_zone (1-5),zone_1_time_minutes,zone_2_time_minutes,zone_3_time_minutes,zone_4_time_minutes,zone_5_time_minutes,trimp (score),id
"Sep 05, 2026 12:54 PM",Lunch Walk,Walk,0.0,52.9823,,,0.0,96,113,0.295231,1,52.9823,0.0,0.0,0.0,0.0,27.5721,397a9c14-c66c-47e2-acc2-759b4a544d63
"Sep 04, 2026 03:13 PM",Afternoon Walk,Walk,0.0,18.9828,,,0.0,101,128,0.333081,1,18.9828,0.0,0.0,0.0,0.0,11.9853,9d462520-d26a-4b0e-a26a-836edaf45b74
"Sep 03, 2026 06:46 PM",Evening Walk,Walk,0.0,22.9828,,,0.0,103,131,0.348221,1,22.9828,0.0,0.0,0.0,0.0,15.6178,0d5de717-ab3b-4e08-bf32-a170d40c8a2a
"Sep 02, 2026 06:07 PM",Evening Activity,Activity,0.0,38.9827,,,0.0,95,113,0.287661,1,38.9827,0.0,0.0,0.0,0.0,19.4813,94bf1d11-249b-40f4-9465-1c82125c4dd4
"Sep 02, 2026 05:18 PM",Evening Run,Run,1.326862,12.1916,9.1883,9:11 /mi,131.96,131,151,0.560182,1,9.6333,2.5665,0.0,0.0,0.0,20.0214,3c77b587-afd4-4e2f-b2c9-1380a8dc0f33
"Sep 02, 2026 09:44 AM",Morning Weight Training,WeightTraining,0.0,53.5606,,,0.0,102,132,0.340651,1,53.5488,0.0,0.0,0.0,0.0,35.0918,9f734a4b-7b4b-4b15-80ea-f0794ddb4bdd
"Sep 01, 2026 06:42 PM",Evening Tennis,Tennis,0.0,59.5541,,,0.0,123,162,0.499621,1,46.9323,9.133,3.5,0.0,0.0,77.6533,a61b92c4-3728-4985-99c9-7b691f2497f8
"Sep 01, 2026 02:10 PM",Afternoon Weight Training,WeightTraining,0.0,50.5395,,,0.0,97,136,0.302801,1,50.5492,0.0,0.0,0.0,0.0,27.3701,00bf4ba2-1e2d-4905-a3a7-d435bf86fd2f
"Aug 31, 2026 12:03 PM",Lunch Weight Training,WeightTraining,0.0,70.7882,,,0.0,100,135,0.325511,1,70.782,0.0,0.0,0.0,0.0,43.0479,6df93bf0-5e97-4292-a842-43c140b88e56
"Aug 30, 2026 05:44 PM",Evening Ride,Ride,0.0,24.9828,,,0.0,108,125,0.386071,1,24.9828,0.0,0.0,0.0,0.0,20.241,e021a8cf-5447-4802-bf2d-389a2644449c
