id,workout_type,elapsed_time,average_watts,max_watts,weighted_average_watts,kilojoules,gear_id,pr_count,suffer_score,device_name,location_city,location_state,achievement_count,kudos_count,strain,calories
16099472755,,628,188.0,206.0,187.0,117.5,g7385283,0,,,,,0,0,,
16099472779,,2498,,,,,,0,,,,,0,0,,
16089160698,30.0,1501,,,,,,0,,,,,0,1,,
16078458933,30.0,1808,,,,,,0,,,,,0,1,,
16053441643,,2856,,,,,,0,,,,,0,0,,
16033221855,,3133,,,,,,0,,,,,0,0,,
16023595887,,678,182.7,220.0,179.0,119.6,g7385283,0,,,,,0,0,,
16013085317,30.0,1615,,,,,,0,,,,,0,1,,
16101187943,30.0,2451,,,,,,0,,,,,0,0,,
15977959354,30.0,4547,,,,,,0,,,,,0,0,,
15957546185,30.0,2236,,,,,,0,,,,,0,0,,
15956461721,,2019,182.5,220.0,182.0,365.8,g7385283,0,,,,,0,1,,
15944606126,30.0,3604,,,,,,0,,,,,0,0,,
15924923649,30.0,3174,,,,,,0,,,,,0,0,,
15913553546,30.0,2353,,,,,,0,,,,,0,2,,
15900574669,30.0,3273,,,,,,0,,,,,0,1,,
15898968088,,705,188.2,212.0,186.0,131.9,g7385283,0,,,,,0,2,,
15887853289,,1401,,,,,g7385283,0,,,,,0,1,,
15887853282,,701,197.2,228.0,196.0,137.4,g7385283,0,,,,,0,1,,
15866594485,30.0,2655,,,,,,0,,,,,0,1,,
15864236654,,902,188.5,211.0,186.0,165.7,g7385283,0,,,,,0,2,,
15858485342,,2723,,,,,,0,,,,,0,2,,
15846253805,30.0,1862,,,,,,0,,,,,0,1,,
15824210476,30.0,2412,,,,,,0,,,,,0,1,,
15780034841,30.0,3142,,,,,,0,,,,,0,2,,
15780034498,31.0,3146,,,,,,0,,,,,0,2,,
16101188217,30.0,2488,,,,,,0,,,,,0,0,,
15757320473,30.0,3179,,,,,,0,,,,,0,2,,
15744324113,30.0,3556,,,,,,0,,,,,0,1,,
15698528309,30.0,3430,,,,,,0,,,,,0,0,,
15685172158,30.0,2700,,,,,,0,,,,,0,1,,
16101188317,30.0,2683,,,,,,0,,,,,0,0,,
15653479886,30.0,1750,,,,,,0,,,,,0,1,,
15626872723,30.0,2847,,,,,,0,,,,,0,1,,
15609324378,30.0,3614,,,,,,0,,,,,0,0,,
15596091333,30.0,2834,,,,,,0,,,,,0,2,,
15584962145,30.0,2811,,,,,,0,,,,,0,2,,
15550283416,,2436,,,,,,0,,,,,0,3,,
15539819844,30.0,2832,,,,,,0,,,,,0,2,,
15518142180,30.0,2362,,,,,,0,,,,,0,1,,
16101188098,30.0,3459,,,,,,0,,,,,0,0,,
15495294039,,624,182.5,198.0,180.0,113.2,g7385283,0,,,,,0,3,,
15480811114,30.0,1933,,,,,,0,,,,,0,1,,
15470531129,30.0,3708,,,,,,0,,,,,0,2,,
15459356527,30.0,3003,,,,,,0,,,,,0,2,,
15451638212,30.0,2357,,,,,,0,,,,,0,1,,
15451638234,30.0,3004,,,,,,0,,,,,0,1,,
15379021540,30.0,2576,,,,,,0,,,,,0,1,,
15366291609,,4218,,,,,,0,,,,,0,1,,
15355195063,30.0,3112,,,,,,0,,,,,0,2,,
15366290654,30.0,3869,,,,,,0,,,,,0,1,,
15324623799,,4124,,,,,,0,,,,,0,1,,
15310427923,30.0,3953,,,,,,0,,,,,0,1,,
15324623938,30.0,2744,,,,,,0,,,,,0,1,,
15280087765,,2245,,,,,,0,,,,,0,1,,
15279240652,30.0,3058,,,,,,0,,,,,0,1,,
15296089641,,1780,,,,,g7385283,0,,,,,0,2,,
15296089725,30.0,4178,,,,,,0,,,,,0,0,,
15265031747,,634,179.8,202.0,178.0,113.1,g7385283,0,,,,,0,2,,
15256009378,30.0,2963,,,,,,0,,,,,0,2,,
15296091221,,4972,,,,,,0,,,,,0,0,,
15223153648,30.0,3509,,,,,,0,,,,,0,1,,
15214984682,30.0,2440,,,,,,0,,,,,0,0,,
15203103360,30.0,3041,,,,,,0,,,,,0,1,,
15169916708,30.0,3281,,,,,,0,,,,,0,0,,
15157059025,30.0,3260,,,,,,0,,,,,0,1,,
15139329998,,2805,,,,,g7385283,0,,,,,0,0,,
15079046791,,5348,,,,,g7385283,0,,,,,0,2,,
15046191993,,2528,,,,,g7385283,0,,,,,0,2,,
15046192178,,1468,,,,,g7385283,0,,,,,0,3,,
14966746630,30.0,3266,,,,,,0,,,,,0,0,,
14920499908,,2057,,,,,g7385283,0,,,,,0,1,,
14916856573,0.0,1767,196.6,277.0,197.0,346.4,g7385283,0,,,,,0,2,,
14905874289,30.0,1888,,,,,,0,,,,,0,0,,
14809129539,30.0,4156,,,,,,0,,,,,0,0,,
14790202123,30.0,3167,,,,,,0,,,,,0,1,,
14749197078,30.0,3531,,,,,,0,,,,,0,0,,
14725151254,30.0,2131,,,,,,0,,,,,0,0,,
14703683085,30.0,2691,,,,,,0,,,,,0,1,,
14666926063,,970,37.9,,,35.7,,0,,,,,0,1,,
14665797131,30.0,2641,,,,,,0,,,,,0,0,,
14636623921,,3702,,,,,g7385283,0,,,,,0,2,,
14632723073,30.0,3964,,,,,,0,,,,,0,0,,
14613652192,30.0,2555,,,,,,0,,,,,0,0,,
14595784670,,2049,,,,,g7385283,0,,,,,0,2,,
14593947424,0.0,3767,191.4,305.0,191.0,697.6,g7385283,10,,,,,13,8,,
14583192995,30.0,2676,,,,,,0,,,,,0,0,,
14571970763,30.0,3366,,,,,,0,,,,,0,0,,
14565657486,,4578,,,,,,0,,,,,0,0,,
14556075319,30.0,3407,,,,,,0,,,,,0,0,,
14533832858,,4650,,,,,,0,,,,,0,1,,
14512241186,,6720,,,,,,0,,,,,0,1,,
14493786842,,5172,,,,,,0,,,,,0,2,,
14491239358,30.0,3064,,,,,,0,,,,,0,1,,
14473335467,,1515,,,,,g7385283,0,,,,,0,0,,
14469586929,30.0,2369,,,,,,0,,,,,0,1,,
14428485789,30.0,3514,,,,,,0,,,,,0,0,,
14386233325,30.0,3434,,,,,,0,,,,,0,2,,
14378435507,0.0,6305,180.4,245.0,181.0,1127.5,g7385283,0,,,,,0,12,,
14367675664,,5879,,,,,,0,,,,,0,2,,
14355665942,30.0,4587,,,,,,0,,,,,0,1,,
14347628933,,1690,,,,,,0,,,,,0,0,,
14323105569,30.0,3358,,,,,,0,,,,,0,1,,
14315900431,,2072,178.2,245.0,179.0,368.5,g7385283,0,,,,,0,5,,
14282207832,30.0,2165,,,,,,0,,,,,0,0,,
14276670215,,3651,,,,,,0,,,,,0,0,,
14276670247,,1409,,,,,g7385283,0,,,,,0,2,,
14275507057,30.0,3067,,,,,,0,,,,,0,1,,
14266884140,0.0,1883,181.4,203.0,179.0,334.2,g7385283,0,,,,,0,4,,
14266456727,30.0,2746,,,,,,0,,,,,0,0,,
14244241424,30.0,1862,,,,,,0,,,,,0,0,,
14234954011,,2825,,,,,,0,,,,,0,3,,
14223690099,30.0,3633,,,,,,0,,,,,0,1,,
14217839996,,2178,,,,,,0,,,,,0,0,,
14207115812,30.0,3361,,,,,,0,,,,,0,1,,
14197930547,30.0,2746,,,,,,0,,,,,0,1,,
14178358884,30.0,4284,,,,,,0,,,,,0,2,,
14176340568,,3128,187.7,260.0,187.0,577.4,g7385283,2,,,,,3,10,,
14171061768,30.0,5159,,,,,,0,,,,,0,1,,
14147444176,30.0,2820,,,,,,0,,,,,0,2,,
14139100693,30.0,3328,,,,,,0,,,,,0,2,,
14128445670,0.0,1449,,,,,g7385283,0,,,,,0,3,,
14118720885,30.0,3783,,,,,,0,,,,,0,1,,
14107952807,30.0,3339,,,,,,0,,,,,0,1,,
14100157192,30.0,4684,,,,,,0,,,,,0,3,,
14078606439,30.0,3795,,,,,,0,,,,,0,3,,
14072859761,,1921,,,,,,0,,,,,0,2,,
14072332711,30.0,2212,,,,,,0,,,,,0,1,,
14072332730,30.0,3327,,,,,,0,,,,,0,1,,
14043439745,,2100,,,,,,0,,,,,0,4,,
14022158700,30.0,3618,,,,,,0,,,,,0,2,,
14020985898,,2131,,,,,,0,,,,,0,1,,
