activity_id,hr_avg,hr_min,hr_max,hr_median,first_half_avg,second_half_avg,cardiac_drift,pct_over_150,pct_over_160,pct_over_170
18493710061,116.1,76,155,115,108.4,123.7,15.4,1.5,0.0,0.0
18481978856,116.6,76,145,117,113.2,120.0,6.8,0.0,0.0,0.0
18467530996,114.1,83,145,113,106.3,121.5,15.2,0.0,0.0,0.0
18457054611,110.3,76,141,110,105.3,115.3,10.0,0.0,0.0,0.0
18428288789,103.7,71,136,105,97.8,109.6,11.8,0.0,0.0,0.0
18415943335,110.0,87,135,109,109.6,110.5,0.9,0.0,0.0,0.0
18392782860,127.8,98,163,129,135.5,120.1,-15.5,5.8,0.5,0.0
18389801053,111.3,84,137,111,110.3,112.4,2.0,0.0,0.0,0.0
18374617331,105.3,67,135,108,97.2,113.1,15.9,0.0,0.0,0.0
18360909142,140.6,115,153,141,137.7,143.2,5.5,2.1,0.0,0.0
18336017603,119.4,77,158,119,116.2,122.6,6.4,2.8,0.0,0.0
18321719035,143.2,115,157,144,138.1,148.2,10.0,24.1,0.0,0.0
18309887967,121.9,91,153,122,125.3,118.4,-6.9,0.6,0.0,0.0
18298138877,115.1,87,143,116,109.0,121.2,12.2,0.0,0.0,0.0
18280844849,112.9,72,148,112,104.9,120.9,16.0,0.0,0.0,0.0
18269988361,106.8,71,141,108,101.8,111.7,9.9,0.0,0.0,0.0
18255994258,142.9,109,156,143,141.3,144.5,3.3,6.6,0.0,0.0
18241582169,109.4,77,130,112,102.5,116.0,13.5,0.0,0.0,0.0
18232542572,129.1,101,148,129,129.3,128.9,-0.4,0.0,0.0,0.0
18227590099,109.0,76,137,109,107.1,110.9,3.7,0.0,0.0,0.0
18203891321,109.2,90,137,109,111.6,106.9,-4.6,0.0,0.0,0.0
18188360839,143.6,112,159,144,140.8,146.4,5.6,7.2,0.0,0.0
18178219942,97.8,67,133,98,92.0,103.4,11.4,0.0,0.0,0.0
18162408469,131.4,111,148,132,133.4,129.4,-4.0,0.0,0.0,0.0
18139389027,95.6,72,124,98,101.6,89.6,-12.0,0.0,0.0,0.0
18111207682,99.0,78,111,100,99.7,98.3,-1.4,0.0,0.0,0.0
18095590132,110.9,84,139,111,109.6,112.2,2.6,0.0,0.0,0.0
18082502615,151.0,125,164,152,149.6,152.5,2.9,62.8,1.9,0.0
18056388917,104.3,69,128,104,99.0,109.5,10.5,0.0,0.0,0.0
18047168098,150.2,127,162,152,144.8,155.7,10.9,60.9,4.6,0.0
18021794503,131.4,79,148,133,122.1,140.5,18.4,0.0,0.0,0.0
18016674701,118.0,95,153,117,117.7,118.3,0.6,0.4,0.0,0.0
18005832507,153.3,101,169,155,148.3,158.2,9.9,79.7,15.4,0.0
18003269621,112.4,63,146,115,103.9,120.8,16.8,0.0,0.0,0.0
17990347740,116.7,78,150,116,111.9,121.4,9.5,0.0,0.0,0.0
17976971428,155.9,90,169,160,149.5,162.4,12.9,81.3,45.1,0.0
17953327083,112.9,88,139,113,111.3,114.4,3.2,0.0,0.0,0.0
17942760448,128.1,99,155,129,124.5,131.7,7.2,1.0,0.0,0.0
17928677633,117.9,71,150,119,111.9,123.9,12.0,0.0,0.0,0.0
17915357989,94.8,78,105,95,94.7,94.9,0.2,0.0,0.0,0.0
17915357836,149.8,105,165,153,145.9,153.6,7.7,69.1,6.0,0.0
17890640926,127.8,103,163,128,121.8,133.8,12.0,4.5,0.8,0.0
17881594801,148.4,105,158,151,143.6,153.1,9.5,51.3,0.0,0.0
17858262140,109.7,75,156,107,101.2,118.2,17.0,4.2,0.0,0.0
17858262172,108.3,75,138,106,102.1,114.4,12.3,0.0,0.0,0.0
17835623772,96.3,76,128,95,95.4,97.1,1.7,0.0,0.0,0.0
17796558346,130.9,89,160,131,125.5,136.2,10.7,4.4,0.0,0.0
17796558335,118.6,89,137,119,116.2,120.9,4.7,0.0,0.0,0.0
17770295589,130.3,103,164,129,126.8,133.9,7.0,4.0,0.6,0.0
17744884844,104.9,78,132,107,101.4,108.5,7.1,0.0,0.0,0.0
17690144727,111.6,81,144,113,103.3,119.5,16.2,0.0,0.0,0.0
17664696636,104.8,69,141,105,95.7,113.9,18.2,0.0,0.0,0.0
17653309831,130.7,96,159,132,128.5,132.9,4.4,4.1,0.0,0.0
17638668134,118.9,80,157,119,111.1,126.3,15.2,1.9,0.0,0.0
17620908624,111.1,76,145,109,104.1,118.1,14.0,0.0,0.0,0.0
17608972061,115.8,76,150,114,111.9,119.7,7.8,0.0,0.0,0.0
17594859324,101.2,68,138,104,93.1,108.5,15.3,0.0,0.0,0.0
17558197768,116.5,80,149,116,108.2,124.6,16.4,0.0,0.0,0.0
17558197889,98.4,79,118,100,95.9,100.7,4.8,0.0,0.0,0.0
17558197760,108.1,84,136,108,112.9,103.6,-9.3,0.0,0.0,0.0
17535234891,125.6,93,147,128,128.7,122.3,-6.4,0.0,0.0,0.0
17534718158,97.9,85,110,100,95.0,98.0,3.0,0.0,0.0,0.0
